timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-18 23:00:00,2.09000000,4.44000000,2.00000000,2.99990000,1471861.58000000,1597791899999,4564473.61445100,6275,671066.84000000,2148287.97300000,0
2020-08-18 23:05:00,2.98370000,3.07000000,2.80000000,2.92610000,723398.06000000,1597792199999,2128743.13345200,2685,422381.84000000,1245040.66941400,0
2020-08-18 23:10:00,2.92840000,3.08960000,2.92380000,2.99990000,706418.06000000,1597792499999,2123882.63712400,2357,422410.39000000,1269876.41491600,0
2020-08-18 23:15:00,2.99990000,3.03000000,2.91000000,2.97290000,343584.79000000,1597792799999,1028020.80842700,1388,216740.31000000,649603.53958200,0
2020-08-18 23:20:00,2.98960000,3.02150000,2.86650000,3.01000000,393298.81000000,1597793099999,1158708.50240600,1718,273334.00000000,806286.77867500,0
2020-08-18 23:25:00,3.01780000,3.02150000,2.97250000,2.97910000,246448.66000000,1597793399999,737830.34606200,1025,176085.62000000,527379.93291500,0
2020-08-18 23:30:00,2.97910000,3.18000000,2.96100000,3.15000000,729736.91000000,1597793699999,2221282.99677500,1612,419957.34000000,1283285.65417700,0
2020-08-18 23:35:00,3.15970000,3.18000000,3.11500000,3.13900000,377589.41000000,1597793999999,1190199.89906100,1239,283441.98000000,893206.61669400,0
2020-08-18 23:40:00,3.14360000,3.14370000,3.02310000,3.10000000,326010.33000000,1597794299999,1012311.97543100,1520,200394.93000000,623087.26458400,0
2020-08-18 23:45:00,3.10440000,3.10820000,2.99020000,3.01010000,303626.41000000,1597794599999,926108.42644300,1075,108715.50000000,335289.40428100,0
2020-08-18 23:50:00,3.00940000,3.10000000,3.00250000,3.09500000,199700.05000000,1597794899999,608883.49900300,984,108537.90000000,332912.40848400,0
2020-08-18 23:55:00,3.09500000,3.11000000,3.04060000,3.10000000,218208.90000000,1597795199999,674927.55370100,715,155885.85000000,482485.33798200,0
2020-08-19 00:00:00,3.10000000,3.12800000,3.08550000,3.09990000,148587.57000000,1597795499999,461317.97857200,820,113714.41000000,353196.26095100,0
2020-08-19 00:05:00,3.09960000,3.10010000,3.03000000,3.09010000,204606.81000000,1597795799999,630856.11398500,570,101010.17000000,311708.62104700,0
2020-08-19 00:10:00,3.09010000,3.10000000,3.06120000,3.06800000,160157.08000000,1597796099999,494117.20318400,502,77328.03000000,238522.79256200,0
2020-08-19 00:15:00,3.06800000,3.09370000,3.02000000,3.02990000,85651.87000000,1597796399999,261244.74397300,396,42942.42000000,131148.88071700,0
2020-08-19 00:20:00,3.02650000,3.03630000,3.02000000,3.03630000,73723.66000000,1597796699999,223161.14929800,388,49779.58000000,150735.98647800,0
2020-08-19 00:25:00,3.03300000,3.06950000,3.03290000,3.05090000,65477.49000000,1597796999999,199611.76198200,393,46297.10000000,141109.84576600,0
2020-08-19 00:30:00,3.05350000,3.06500000,3.02760000,3.03160000,70059.90000000,1597797299999,213768.63541000,397,31350.62000000,95695.75879800,0
2020-08-19 00:35:00,3.03160000,3.03160000,2.97380000,2.98830000,105485.15000000,1597797599999,316136.34070000,531,46679.73000000,139890.43049400,0
2020-08-19 00:40:00,2.98890000,3.03500000,2.98890000,3.02670000,112130.06000000,1597797899999,336663.87861900,344,46845.50000000,140801.37172000,0
2020-08-19 00:45:00,3.02410000,3.05000000,3.02000000,3.04940000,71562.61000000,1597798199999,216974.51039000,335,53814.31000000,163282.52017900,0
2020-08-19 00:50:00,3.04940000,3.12000000,3.04120000,3.11490000,223791.10000000,1597798499999,688215.01557900,523,200863.00000000,618012.19978000,0
2020-08-19 00:55:00,3.11490000,3.14000000,3.05000000,3.10500000,233437.07000000,1597798799999,727401.06953500,778,145963.99000000,455305.50473400,0
2020-08-19 01:00:00,3.10500000,3.10950000,3.06000000,3.06850000,62664.61000000,1597799099999,193568.33228500,300,33675.68000000,103962.42151200,0
2020-08-19 01:05:00,3.08160000,3.12500000,3.06500000,3.11230000,53932.87000000,1597799399999,167546.41110100,295,35090.22000000,108911.01244300,0
2020-08-19 01:10:00,3.11180000,3.11410000,3.06250000,3.06370000,71813.03000000,1597799699999,221588.29618500,339,40790.57000000,125882.65235700,0
2020-08-19 01:15:00,3.06240000,3.09990000,3.05840000,3.08500000,66846.55000000,1597799999999,206077.20720800,273,50570.61000000,155905.91119500,0
2020-08-19 01:20:00,3.08500000,3.08810000,3.07000000,3.07650000,51694.04000000,1597800299999,159241.19799900,278,25980.31000000,80043.31206600,0
2020-08-19 01:25:00,3.07650000,3.08990000,3.06730000,3.08110000,77508.70000000,1597800599999,238608.86827700,389,61457.47000000,189240.92481400,0
2020-08-19 01:30:00,3.08190000,3.09990000,3.07130000,3.08690000,63420.92000000,1597800899999,195639.90549300,430,51117.93000000,157786.17382000,0
2020-08-19 01:35:00,3.08690000,3.11500000,3.08690000,3.11500000,74770.66000000,1597801199999,232130.11020800,404,64440.29000000,200085.57403200,0
2020-08-19 01:40:00,3.11410000,3.12000000,3.10060000,3.11370000,102537.20000000,1597801499999,319058.21513500,476,83925.98000000,261197.21081500,0
2020-08-19 01:45:00,3.11360000,3.12990000,3.11050000,3.12220000,82467.75000000,1597801799999,257385.68626200,395,68955.67000000,215233.40650700,0
2020-08-19 01:50:00,3.12250000,3.12310000,3.10000000,3.10610000,45214.35000000,1597802099999,140731.50956000,282,28782.98000000,89675.34661500,0
2020-08-19 01:55:00,3.10610000,3.11240000,3.09000000,3.10630000,60208.76000000,1597802399999,187100.92823200,290,34673.73000000,107837.91302200,0
2020-08-19 02:00:00,3.10820000,3.10870000,3.07130000,3.07160000,67979.35000000,1597802699999,210066.50104500,386,32698.95000000,100966.07217400,0
